id	roleExp	blueDiamond	redDiamond	gold
1	500	5	5	500
2	800	5	5	500
3	1100	5	5	500
4	1400	5	5	500
5	1700	5	5	500
6	2000	5	5	500
7	2300	5	5	500
8	2600	5	5	500
9	2900	5	5	500
10	3200	5	5	500
11	3500	5	5	500
12	3800	5	5	500
13	4100	5	5	500
14	4400	5	5	500
15	4700	5	5	500
16	5000	5	5	500
17	5300	5	5	500
18	5600	5	5	500
19	5900	5	5	500
20	6200	5	5	500
21	6500	5	5	500
22	6800	5	5	500
23	7100	5	5	500
24	7400	5	5	500
25	7700	5	5	500
26	8000	5	5	500
27	8300	5	5	500
28	8600	5	5	500
29	8900	5	5	500
30	9200	5	5	500
31	9500	5	5	500
32	9800	5	5	500
33	10100	5	5	500
34	10400	5	5	500
35	10700	5	5	500
36	11000	5	5	500
37	11300	5	5	500
38	11600	5	5	500
39	11900	5	5	500
40	12200	5	5	500
41	12500	5	5	500
42	12800	5	5	500
43	13100	5	5	500
44	13400	5	5	500
45	13700	5	5	500
46	14000	5	5	500
47	14300	5	5	500
48	14600	5	5	500
49	14900	5	5	500
50	15200	5	5	500
51	15500	5	5	500
52	15800	5	5	500
53	16100	5	5	500
54	16400	5	5	500
55	16700	5	5	500
56	17000	5	5	500
57	17300	5	5	500
58	17600	5	5	500
59	17900	5	5	500
60	18200	5	5	500
