id	roleLevel	roleId	addAtk	costAtk	addHp	costHp	costGold
1	1	1	8	5	25	5	400
2	2	1	8	5	25	5	800
3	3	1	9	5	26	5	1200
4	4	1	8	5	25	5	1600
5	5	1	9	10	26	10	2000
6	6	1	8	10	25	10	2400
7	7	1	9	10	26	10	2800
8	8	1	8	10	25	10	3200
9	9	1	8	10	25	10	3600
10	10	1	8	15	25	15	4000
11	11	1	8	15	25	15	4400
12	12	1	8	15	25	15	4800
13	13	1	9	15	26	15	5200
14	14	1	8	15	25	15	5600
15	15	1	9	20	26	20	6000
16	16	1	8	20	25	20	6400
17	17	1	9	20	26	20	6800
18	18	1	8	20	25	20	7200
19	19	1	8	20	25	20	7600
20	20	1	8	25	25	25	8000
21	1	2	10	5	30	5	400
22	2	2	10	5	30	5	800
23	3	2	10	5	30	5	1200
24	4	2	10	5	30	5	1600
25	5	2	10	10	30	10	2000
26	6	2	10	10	30	10	2400
27	7	2	10	10	30	10	2800
28	8	2	10	10	30	10	3200
29	9	2	10	10	30	10	3600
30	10	2	10	15	30	15	4000
31	11	2	10	15	30	15	4400
32	12	2	10	15	30	15	4800
33	13	2	10	15	30	15	5200
34	14	2	10	15	30	15	5600
35	15	2	10	20	30	20	6000
36	16	2	10	20	30	20	6400
37	17	2	10	20	30	20	6800
38	18	2	10	20	30	20	7200
39	19	2	10	20	30	20	7600
40	20	2	10	25	30	25	8000
41	21	2	10	25	30	25	8400
42	22	2	10	25	30	25	8800
43	23	2	10	25	30	25	9200
44	24	2	10	25	30	25	9600
45	25	2	10	30	30	30	10000
46	1	2	10	30	30	30	11000
47	1	2	10	30	30	30	12000
48	1	2	10	30	30	30	13000
49	1	2	10	30	30	30	14000
50	1	2	10	40	30	40	15000
51	1	2	8	40	25	40	16000
52	1	2	8	40	25	40	17000
53	1	2	9	40	26	40	18000
54	1	2	8	40	25	40	19000
55	1	2	9	55	26	55	24000
56	1	2	8	55	25	55	24000
57	1	2	9	55	26	55	24000
58	1	2	8	55	25	55	24000
59	1	2	8	55	25	55	24000
60	1	2	8	70	25	70	30000
61	1	2	8	70	25	70	32000
62	1	2	8	70	25	70	34000
63	1	2	9	70	26	70	36000
64	1	2	8	70	25	70	38000
65	1	2	9	100	26	100	40000
66	46	2	8	100	25	100	44000
67	47	2	9	100	26	100	48000
68	48	2	8	100	25	100	52000
69	49	2	8	100	25	100	56000
70	50	2	8	1000	25	1000	60000
71	51	2	8	1000	25	1000	64000
72	52	2	8	1000	25	1000	68000
73	53	2	9	1000	26	1000	72000
74	54	2	8	1000	25	1000	76000
75	55	2	9	1000	26	1000	80000
76	56	2	8	1000	25	1000	84000
77	57	2	9	1000	26	1000	88000
78	58	2	8	1000	25	1000	92000
79	59	2	8	1000	25	1000	96000
80	60	2	8	1000	25	1000	100000
81	61	2	8	1000	25	1000	104000
82	62	2	8	1000	25	1000	108000
83	63	2	9	1000	26	1000	112000
84	64	2	8	1000	25	1000	116000
85	65	2	9	1000	26	1000	120000
86	66	2	8	1000	25	1000	124000
87	67	2	9	1000	26	1000	128000
88	68	2	8	1000	25	1000	132000
89	69	2	8	1000	25	1000	136000
90	70	2	8	1000	25	1000	140000
91	71	2	8	1000	25	1000	144000
92	72	2	8	1000	25	1000	148000
93	73	2	9	1000	26	1000	152000
94	74	2	8	1000	25	1000	156000
95	75	2	9	1000	26	1000	160000
96	76	2	8	1000	25	1000	164000
97	77	2	9	1000	26	1000	168000
98	78	2	8	1000	25	1000	172000
99	79	2	8	1000	25	1000	176000
100	80	2	8	1000	25	1000	180000
101	81	2	8	1000	25	1000	184000
102	82	2	8	1000	25	1000	188000
103	83	2	9	1000	26	1000	192000
104	84	2	8	1000	25	1000	196000
105	85	2	9	1000	26	1000	200000
106	86	2	8	1000	25	1000	204000
107	87	2	9	1000	26	1000	208000
108	88	2	8	1000	25	1000	212000
109	89	2	8	1000	25	1000	216000
110	90	2	8	1000	25	1000	220000
111	91	2	8	1000	25	1000	224000
112	92	2	8	1000	25	1000	228000
113	93	2	9	1000	26	1000	232000
114	94	2	8	1000	25	1000	236000
115	95	2	9	1000	26	1000	240000
116	96	2	8	1000	25	1000	244000
117	97	2	9	1000	26	1000	248000
118	98	2	8	1000	25	1000	252000
119	99	2	8	1000	25	1000	256000
120	100	2	8	1000	25	1000	260000
